,model,shot,SPC,PPC,excluded,dataset,Mean,std,speed
0,roberta-large,0,10000,5,None,amazon_p,0.95368,0.004166533331199936,49.67181370983198
1,roberta-large,0,10000,5,None,copa,0.8509599999999999,0.006740919818541093,280.7219366889849
2,roberta-large,0,10000,5,None,emotion,0.4906400000000001,0.03178356493535614,65.34305625445484
3,roberta-large,0,10000,5,None,figqa,0.730054844606947,0.024052207130619892,275.61157785589137
4,roberta-large,0,10000,5,None,mrpc,0.7152927536231883,0.007809106645952246,247.6683627891362
5,roberta-large,0,10000,5,None,storycloze,0.9106611570247933,0.007994025670311185,138.61584136752177
6,roberta-large,0,10000,5,None,yahoo,0.48392,0.006883313155741215,116.02629062683009
7,roberta-large,32,10000,5,None,amazon_p,0.9525600000000001,0.0031464265445104575,49.540827382709246
8,roberta-large,32,10000,5,None,copa,0.85096,0.008499411744350318,278.2861562206597
9,roberta-large,32,10000,5,None,emotion,0.48373999999999995,0.03639155121728119,65.34354982104287
10,roberta-large,32,10000,5,None,figqa,0.7257769652650823,0.01793501573723782,277.0398047443049
11,roberta-large,32,10000,5,None,mrpc,0.714944927536232,0.00800042006878656,246.03687959594404
12,roberta-large,32,10000,5,None,storycloze,0.9102479338842976,0.00988933714361514,139.65820170370029
13,roberta-large,32,10000,5,None,yahoo,0.48192,0.008464041587799538,116.23119826019938
14,roberta-large,200,10000,5,None,amazon_p,0.9525599999999999,0.001959591794226544,49.757650028865356
15,roberta-large,200,10000,5,None,copa,0.8516,0.006764613810115112,280.3997644092011
16,roberta-large,200,10000,5,None,emotion,0.48647999999999997,0.034556041439956636,65.48733910346579
17,roberta-large,200,10000,5,None,figqa,0.7251553930530165,0.019711022534595828,278.3205866830019
18,roberta-large,200,10000,5,None,mrpc,0.7141797101449276,0.00888641007234953,246.1514493456936
19,roberta-large,200,10000,5,None,storycloze,0.9097933884297522,0.009083862783876288,138.0019580591272
20,roberta-large,200,10000,5,None,yahoo,0.4835999999999999,0.008016233529532438,116.03786027528147
21,roberta-large,500,10000,5,None,amazon_p,0.9516399999999999,0.0031811947441173763,49.85883217160075
22,roberta-large,500,10000,5,None,copa,0.85448,0.009516301802696263,279.66707957120855
23,roberta-large,500,10000,5,None,emotion,0.49383999999999995,0.032903343295172915,65.41848382665798
24,roberta-large,500,10000,5,None,figqa,0.7230347349177331,0.017384288968378174,277.28714679813
25,roberta-large,500,10000,5,None,mrpc,0.7141797101449276,0.010363038385882381,245.85523474187931
26,roberta-large,500,10000,5,None,storycloze,0.9068181818181819,0.007777491828396155,136.9937261516705
27,roberta-large,500,10000,5,None,yahoo,0.48328,0.008684468895678085,116.03587815517812
28,roberta-large,1000,10000,5,None,amazon_p,0.95236,0.0022045407685048622,49.68798344342095
29,roberta-large,1000,10000,5,None,copa,0.84992,0.006118823416311347,278.1316997484652
30,roberta-large,1000,10000,5,None,emotion,0.47948,0.03581410336724906,65.19623203152766
31,roberta-large,1000,10000,5,None,figqa,0.7288848263254113,0.022441283122097356,277.64501321443765
32,roberta-large,1000,10000,5,None,mrpc,0.7162666666666667,0.009058330427652004,245.84646680451547
33,roberta-large,1000,10000,5,None,storycloze,0.9054958677685951,0.0072003465261267175,138.49043868621283
34,roberta-large,1000,10000,5,None,yahoo,0.48364,0.007969943538068517,115.37133369482713
35,roberta-large,full,10000,5,None,amazon_p,0.9532399999999999,0.002068816086557722,49.6462323655031
36,roberta-large,full,10000,5,None,copa,0.8480799999999998,0.008328265125462813,276.08635324798445
37,roberta-large,full,10000,5,None,emotion,0.48938000000000004,0.03130159740332752,65.00971959389732
38,roberta-large,full,10000,5,None,figqa,0.7223034734917734,0.018390443428759375,273.74154489313435
39,roberta-large,full,10000,5,None,mrpc,0.7158260869565217,0.0095185510732864,244.945698951995
40,roberta-large,full,10000,5,None,storycloze,0.9122727272727273,0.008893902169434255,140.35242567301907
41,roberta-large,full,10000,5,None,yahoo,0.48368,0.009366963221877203,115.47283972743898
